step,loss,loss/mean,loss/std,lr,momentum
4,0.005991412792354822,0.005991412792354822,0.0008694571837640992,0.001,0.9
5,0.004888724070042372,0.004888724070042372,0.0007923965033289634,0.001,0.9
6,0.0041882554069161415,0.0041882554069161415,0.0006059694969032444,0.001,0.9
7,0.0037471263203769922,0.0037471263203769922,0.0005769467688752924,0.001,0.9
8,0.0033645262010395527,0.0033645262010395527,0.000492899654298554,0.001,0.9
9,0.003116370178759098,0.003116370178759098,0.00044526336906366146,0.001,0.9
10,0.0029196375980973244,0.0029196375980973244,0.00040305343654586397,0.001,0.9
11,0.002722835633903742,0.002722835633903742,0.00041475422505434087,0.001,0.9
12,0.0025704060681164265,0.0025704060681164265,0.0003662276923574723,0.001,0.9
13,0.002447255654260516,0.002447255654260516,0.0003613831059982072,0.001,0.9
14,0.0023530256003141403,0.0023530256003141403,0.00036094960043262734,0.001,0.9
15,0.0022731253411620855,0.0022731253411620855,0.0003311182455350289,0.001,0.9
16,0.0021589554380625486,0.0021589554380625486,0.00030830440229705295,0.001,0.9
17,0.0021111753303557634,0.0021111753303557634,0.00030072022783840833,0.001,0.9
18,0.0020199029240757227,0.0020199029240757227,0.00029476053492688087,0.001,0.9
19,0.001971007091924548,0.001971007091924548,0.0002904788876999697,0.001,0.9
20,0.0018933024257421494,0.0018933024257421494,0.00026876682448008515,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.05041825771331787,0.05041825771331787,0.06405875026111284,0.001,0.9
2,0.012832035310566425,0.012832035310566425,0.002765305642696737,0.001,0.9
3,0.008035257458686829,0.008035257458686829,0.0012647746289199146,0.001,0.9
4,0.005991412792354822,0.005991412792354822,0.0008694571837640992,0.001,0.9
5,0.004888724070042372,0.004888724070042372,0.0007923965033289634,0.001,0.9
6,0.0041882554069161415,0.0041882554069161415,0.0006059694969032444,0.001,0.9
7,0.0037471263203769922,0.0037471263203769922,0.0005769467688752924,0.001,0.9
8,0.0033645262010395527,0.0033645262010395527,0.000492899654298554,0.001,0.9
9,0.003116370178759098,0.003116370178759098,0.00044526336906366146,0.001,0.9
10,0.0029196375980973244,0.0029196375980973244,0.00040305343654586397,0.001,0.9
11,0.002722835633903742,0.002722835633903742,0.00041475422505434087,0.001,0.9
12,0.0025704060681164265,0.0025704060681164265,0.0003662276923574723,0.001,0.9
13,0.002447255654260516,0.002447255654260516,0.0003613831059982072,0.001,0.9
14,0.0023530256003141403,0.0023530256003141403,0.00036094960043262734,0.001,0.9
15,0.0022731253411620855,0.0022731253411620855,0.0003311182455350289,0.001,0.9
16,0.0021589554380625486,0.0021589554380625486,0.00030830440229705295,0.001,0.9
17,0.0021111753303557634,0.0021111753303557634,0.00030072022783840833,0.001,0.9
18,0.0020199029240757227,0.0020199029240757227,0.00029476053492688087,0.001,0.9
19,0.001971007091924548,0.001971007091924548,0.0002904788876999697,0.001,0.9
20,0.0018933024257421494,0.0018933024257421494,0.00026876682448008515,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.05041825771331787,0.05041825771331787,0.06405875026111284,0.001,0.9
2,0.012832035310566425,0.012832035310566425,0.002765305642696737,0.001,0.9
3,0.008035257458686829,0.008035257458686829,0.0012647746289199146,0.001,0.9
4,0.005991412792354822,0.005991412792354822,0.0008694571837640992,0.001,0.9
5,0.004888724070042372,0.004888724070042372,0.0007923965033289634,0.001,0.9
6,0.0041882554069161415,0.0041882554069161415,0.0006059694969032444,0.001,0.9
7,0.0037471263203769922,0.0037471263203769922,0.0005769467688752924,0.001,0.9
8,0.0033645262010395527,0.0033645262010395527,0.000492899654298554,0.001,0.9
9,0.003116370178759098,0.003116370178759098,0.00044526336906366146,0.001,0.9
10,0.0029196375980973244,0.0029196375980973244,0.00040305343654586397,0.001,0.9
11,0.002722835633903742,0.002722835633903742,0.00041475422505434087,0.001,0.9
12,0.0025704060681164265,0.0025704060681164265,0.0003662276923574723,0.001,0.9
13,0.002447255654260516,0.002447255654260516,0.0003613831059982072,0.001,0.9
14,0.0023530256003141403,0.0023530256003141403,0.00036094960043262734,0.001,0.9
15,0.0022731253411620855,0.0022731253411620855,0.0003311182455350289,0.001,0.9
16,0.0021589554380625486,0.0021589554380625486,0.00030830440229705295,0.001,0.9
17,0.0021111753303557634,0.0021111753303557634,0.00030072022783840833,0.001,0.9
18,0.0020199029240757227,0.0020199029240757227,0.00029476053492688087,0.001,0.9
19,0.001971007091924548,0.001971007091924548,0.0002904788876999697,0.001,0.9
20,0.0018933024257421494,0.0018933024257421494,0.00026876682448008515,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.05041825771331787,0.05041825771331787,0.06405875026111284,0.001,0.9
2,0.012832035310566425,0.012832035310566425,0.002765305642696737,0.001,0.9
3,0.008035257458686829,0.008035257458686829,0.0012647746289199146,0.001,0.9
4,0.005991412792354822,0.005991412792354822,0.0008694571837640992,0.001,0.9
5,0.004888724070042372,0.004888724070042372,0.0007923965033289634,0.001,0.9
6,0.0041882554069161415,0.0041882554069161415,0.0006059694969032444,0.001,0.9
7,0.0037471263203769922,0.0037471263203769922,0.0005769467688752924,0.001,0.9
8,0.0033645262010395527,0.0033645262010395527,0.000492899654298554,0.001,0.9
9,0.003116370178759098,0.003116370178759098,0.00044526336906366146,0.001,0.9
10,0.0029196375980973244,0.0029196375980973244,0.00040305343654586397,0.001,0.9
11,0.002722835633903742,0.002722835633903742,0.00041475422505434087,0.001,0.9
12,0.0025704060681164265,0.0025704060681164265,0.0003662276923574723,0.001,0.9
13,0.002447255654260516,0.002447255654260516,0.0003613831059982072,0.001,0.9
14,0.0023530256003141403,0.0023530256003141403,0.00036094960043262734,0.001,0.9
15,0.0022731253411620855,0.0022731253411620855,0.0003311182455350289,0.001,0.9
16,0.0021589554380625486,0.0021589554380625486,0.00030830440229705295,0.001,0.9
17,0.0021111753303557634,0.0021111753303557634,0.00030072022783840833,0.001,0.9
18,0.0020199029240757227,0.0020199029240757227,0.00029476053492688087,0.001,0.9
19,0.001971007091924548,0.001971007091924548,0.0002904788876999697,0.001,0.9
20,0.0018933024257421494,0.0018933024257421494,0.00026876682448008515,0.001,0.9
step,loss,loss/mean,loss/std,lr,momentum
1,0.05041825771331787,0.05041825771331787,0.06405875026111284,0.001,0.9
2,0.012832035310566425,0.012832035310566425,0.002765305642696737,0.001,0.9
3,0.008035257458686829,0.008035257458686829,0.0012647746289199146,0.001,0.9
4,0.005991412792354822,0.005991412792354822,0.0008694571837640992,0.001,0.9
5,0.004888724070042372,0.004888724070042372,0.0007923965033289634,0.001,0.9
6,0.0041882554069161415,0.0041882554069161415,0.0006059694969032444,0.001,0.9
7,0.0037471263203769922,0.0037471263203769922,0.0005769467688752924,0.001,0.9
8,0.0033645262010395527,0.0033645262010395527,0.000492899654298554,0.001,0.9
